date,permno,ticker,comnam,prc,vol,ret,retx
2008-12-18,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,5.58000,58300,0.064886,0.064886
2008-12-17,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,5.24000,37900,0.050100,0.050100
2008-12-16,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,4.99000,114100,0.008183,0.008183
2008-12-15,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,4.94950,189100,-0.019901,-0.019901
2008-12-12,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,5.05000,39300,0.010000,0.010000
2008-12-11,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,5.00000,80400,0.012146,0.012146
2008-12-10,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,4.94000,65600,-0.012000,-0.012000
2008-12-09,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,5.00000,55600,-0.017682,-0.017682
2008-12-08,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,5.09000,27500,0.009921,0.009921
2008-12-05,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,5.04000,46800,-0.007874,-0.007874
2008-12-04,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,5.08000,36300,0.007937,0.007937
2008-12-03,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,5.04000,78000,-0.038168,-0.038168
2008-12-02,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,5.24000,68000,-0.001905,-0.001905
2008-12-01,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,5.25000,62200,-0.070797,-0.070797
2008-11-28,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,5.65000,21400,0.008929,0.008929
2008-11-26,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,5.60000,42100,0.056604,0.056604
2008-11-25,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,5.30000,120300,0.060000,0.060000
2008-11-24,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,5.00000,68500,0.116071,0.116071
2008-11-21,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,4.48000,62800,-0.093117,-0.093117
2008-11-20,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,4.94000,71500,-0.106691,-0.106691
2008-11-19,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,5.53000,72400,-0.036585,-0.036585
2008-11-18,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,5.74000,68400,-0.021739,-0.040134
2008-11-17,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,5.98000,65900,-0.049285,-0.049285
2008-11-14,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,6.29000,18800,-0.029321,-0.029321
2008-11-13,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,6.48000,33000,0.003096,0.003096
2008-11-12,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,6.46000,59400,-0.045790,-0.045790
2008-11-11,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,6.77000,53500,-0.014556,-0.014556
2008-11-10,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,6.87000,27500,0.011514,0.011514
2008-11-07,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,6.79180,15300,0.004704,0.004704
2008-11-06,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,6.76000,24200,0.000000,0.000000
2008-11-05,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,6.76000,31700,-0.010249,-0.010249
2008-11-04,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,6.83000,9100,0.034849,0.034849
2008-11-03,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,6.60000,42800,0.000000,0.000000
2008-10-31,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,6.60000,53600,0.045164,0.045164
2008-10-30,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,6.31480,14300,0.025130,0.025130
2008-10-29,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,6.16000,41200,-0.004847,-0.004847
2008-10-28,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,6.19000,45200,0.076522,0.076522
2008-10-27,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,5.75000,55200,-0.038462,-0.038462
2008-10-24,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,5.98000,15800,-0.035484,-0.035484
2008-10-23,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,6.20000,27400,-0.023622,-0.023622
2008-10-22,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,6.35000,19700,-0.041529,-0.057850
2008-10-21,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,6.73990,40200,-0.016073,-0.016073
2008-10-20,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,6.85000,114400,0.060372,0.060372
2008-10-17,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,6.46000,91600,0.060755,0.060755
2008-10-16,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,6.09000,89500,-0.008143,-0.008143
2008-10-15,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,6.14000,37400,-0.098385,-0.098385
2008-10-14,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,6.81000,105600,0.080952,0.080952
2008-10-13,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,6.30000,108700,0.223301,0.223301
2008-10-10,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,5.15000,199300,-0.122658,-0.122658
2008-10-09,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,5.87000,131700,-0.062300,-0.062300
2008-10-08,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,6.26000,207600,-0.047184,-0.047184
2008-10-07,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,6.57000,97200,-0.047826,-0.047826
2008-10-06,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,6.90000,153900,-0.107374,-0.107374
2008-10-03,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,7.73000,72700,-0.010243,-0.010243
2008-10-02,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,7.81000,44300,-0.032218,-0.032218
2008-10-01,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,8.07000,48500,0.026718,0.026718
2008-09-30,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,7.86000,43600,0.023438,0.023438
2008-09-29,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,7.68000,113200,-0.124287,-0.124287
2008-09-26,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,8.77000,86200,-0.007919,-0.007919
2008-09-25,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,8.84000,92800,0.016092,0.016092
2008-09-24,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,8.70000,62100,0.013986,0.013986
2008-09-23,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,8.58000,64200,-0.033784,-0.033784
2008-09-22,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,8.88000,83500,-0.032680,-0.032680
2008-09-19,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,9.18000,96000,0.186462,0.172414
2008-09-18,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,7.83000,303600,0.048193,0.048193
2008-09-17,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,0.13000,215333100,-0.566667,-0.566667
2008-09-17,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,7.47000,295100,-0.128355,-0.128355
2008-09-16,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,0.30000,141625000,0.428572,0.428572
2008-09-16,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,8.57000,220800,-0.063388,-0.063388
2008-09-15,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,0.21000,467808800,-0.942466,-0.942466
2008-09-15,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,9.15000,439000,-0.062500,-0.062500
2008-09-12,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,3.65000,307134300,-0.135071,-0.135071
2008-09-12,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,9.76000,152900,-0.018109,-0.018109
2008-09-11,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,4.22000,472639900,-0.417931,-0.417931
2008-09-11,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,9.94000,126900,-0.017787,-0.017787
2008-09-10,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.12000,67300,-0.000987,-0.000987
2008-09-10,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,7.25000,256537500,-0.069320,-0.069320
2008-09-09,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.13000,62600,-0.022201,-0.022201
2008-09-09,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,7.79000,383517800,-0.449470,-0.449470
2008-09-08,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.36000,21000,0.001934,0.001934
2008-09-08,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,14.15000,111407500,-0.126543,-0.126543
2008-09-05,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.34000,46300,0.003883,0.003883
2008-09-05,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,16.20000,43327300,0.067897,0.067897
2008-09-04,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.30000,28200,-0.013410,-0.013410
2008-09-04,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,15.17000,40231200,-0.104486,-0.104486
2008-09-03,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.44000,14200,-0.001912,-0.001912
2008-09-03,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,16.94000,40642500,0.050217,0.050217
2008-09-02,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.46000,32600,0.009653,0.009653
2008-09-02,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,16.13000,51677700,0.002486,0.002486
2008-08-29,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,16.09000,31114700,0.013863,0.013863
2008-08-29,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.36000,31700,-0.003846,-0.003846
2008-08-28,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,15.87000,36632800,0.073748,0.073748
2008-08-28,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.40000,27300,0.006776,0.006776
2008-08-27,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,14.78000,42321600,0.053457,0.053457
2008-08-27,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.33000,11200,0.005842,0.005842
2008-08-26,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,14.03000,32104200,0.043123,0.043123
2008-08-26,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.27000,33600,0.005877,0.005877
2008-08-25,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,13.45000,60135200,-0.066620,-0.066620
2008-08-25,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.21000,14800,-0.000978,-0.000978
2008-08-22,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,14.41000,113074400,0.050292,0.050292
2008-08-22,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.22000,20100,0.007890,0.007890
2008-08-21,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,13.72000,72563700,-0.000728,-0.000728
2008-08-21,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.14000,22800,-0.011696,-0.011696
2008-08-20,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,13.73000,60519300,0.050497,0.050497
2008-08-20,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.26000,36500,0.010721,0.000000
2008-08-19,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.26000,12600,0.000000,0.000000
2008-08-19,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,13.07000,60835900,-0.130406,-0.130406
2008-08-18,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,15.03000,30852700,-0.070501,-0.070501
2008-08-18,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.26000,11400,-0.009652,-0.009652
2008-08-15,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.36000,26600,-0.002887,-0.002887
2008-08-15,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,16.17000,30944000,-0.001852,-0.001852
2008-08-14,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,16.20000,28119900,0.040463,0.040463
2008-08-14,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.39000,14200,0.002896,0.002896
2008-08-13,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.36000,15300,-0.003846,-0.003846
2008-08-13,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,15.57000,43366500,-0.039482,-0.039482
2008-08-12,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.40000,24100,-0.003831,-0.003831
2008-08-12,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,16.21000,30662000,-0.120933,-0.120933
2008-08-11,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,18.44000,25090300,-0.009667,-0.009667
2008-08-11,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.44000,30700,0.003846,0.003846
2008-08-08,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.40000,50200,0.016618,0.016618
2008-08-08,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,18.62000,23687700,0.053764,0.053764
2008-08-07,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,17.67000,32335500,-0.128055,-0.136364
2008-08-07,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.23000,45900,-0.003895,-0.003895
2008-08-06,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.27000,53500,-0.008687,-0.008687
2008-08-06,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,20.46000,27406000,0.010870,0.010870
2008-08-05,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,20.24000,36305300,0.128205,0.128205
2008-08-05,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.36000,49800,-0.011450,-0.011450
2008-08-04,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.48000,11900,-0.001905,-0.001905
2008-08-04,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,17.94000,22785500,-0.038070,-0.038070
2008-08-01,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,18.65000,35464500,0.075548,0.075548
2008-08-01,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.50000,17200,-0.000951,-0.000951
2008-07-31,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,17.34000,49311400,-0.048821,-0.048821
2008-07-31,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.51000,19100,-0.004735,-0.004735
2008-07-30,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,18.23000,39180700,0.079976,0.079976
2008-07-30,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.56000,9900,0.003802,0.003802
2008-07-29,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.52000,27600,0.001905,0.001905
2008-07-29,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,16.88000,46615300,0.105435,0.105435
2008-07-28,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,15.27000,33983200,-0.104399,-0.104399
2008-07-28,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.50000,25000,0.001908,0.001908
2008-07-25,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.48000,24400,-0.005693,-0.005693
2008-07-25,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,17.05000,30619600,-0.079374,-0.079374
2008-07-24,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,18.52000,29086900,-0.122275,-0.122275
2008-07-24,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.54000,29400,-0.018622,-0.018622
2008-07-23,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,21.10000,35857500,0.044554,0.044554
2008-07-23,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.74000,24100,0.013208,0.013208
2008-07-22,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,20.20000,35309900,0.102620,0.102620
2008-07-22,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.60000,45200,0.008475,-0.001883
2008-07-21,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.62000,17100,0.010466,0.010466
2008-07-21,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,18.32000,40446000,-0.041340,-0.041340
2008-07-18,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.51000,20900,0.002863,0.002863
2008-07-18,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,19.11000,50777500,0.011111,0.011111
2008-07-17,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,18.90000,72752400,0.135135,0.135135
2008-07-17,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.48000,29100,0.001912,0.001912
2008-07-16,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.46000,73900,0.010628,0.010628
2008-07-16,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,16.65000,83418500,0.259455,0.259455
2008-07-15,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.35000,89600,0.000967,0.000967
2008-07-15,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,13.22000,132450300,0.066129,0.066129
2008-07-14,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.34000,25900,-0.007678,-0.007678
2008-07-14,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,12.40000,107880400,-0.140679,-0.140679
2008-07-11,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.42000,67400,-0.000959,-0.000959
2008-07-11,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,14.43000,174338300,-0.165896,-0.165896
2008-07-10,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.43000,42700,-0.003820,-0.003820
2008-07-10,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,17.30000,153195900,-0.123607,-0.123607
2008-07-09,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,19.74000,46384600,-0.113606,-0.113606
2008-07-09,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.47000,29100,-0.005698,-0.005698
2008-07-08,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,22.27000,53663400,0.068618,0.068618
2008-07-08,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.53000,47200,-0.003784,-0.003784
2008-07-07,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,20.84000,49934300,-0.087965,-0.087965
2008-07-07,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.57000,95700,-0.017658,-0.017658
2008-07-03,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.76000,27900,-0.016453,-0.016453
2008-07-03,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,22.85000,38007300,0.021914,0.021914
2008-07-02,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,22.36000,73831600,0.066794,0.066794
2008-07-02,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,10.94000,19300,-0.008160,-0.008160
2008-07-01,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.03000,128600,-0.020426,-0.020426
2008-07-01,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,20.96000,84753600,0.058052,0.058052
2008-06-30,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.26000,62600,-0.011414,-0.011414
2008-06-30,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,19.81000,57495000,-0.109663,-0.109663
2008-06-27,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,22.25000,33269700,-0.015922,-0.015922
2008-06-27,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.39000,27800,-0.011285,-0.011285
2008-06-26,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.52000,18900,-0.004321,-0.004321
2008-06-26,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,22.61000,29721200,-0.084245,-0.084245
2008-06-25,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,24.69000,29947200,0.013963,0.013963
2008-06-25,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.57000,27300,0.009599,0.009599
2008-06-24,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,24.35000,38422000,0.067983,0.067983
2008-06-24,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.46000,25600,-0.006932,-0.006932
2008-06-23,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.54000,38200,-0.008591,-0.008591
2008-06-23,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,22.80000,23725500,-0.057851,-0.057851
2008-06-20,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.64000,35400,-0.012723,-0.012723
2008-06-20,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,24.20000,38995300,-0.010630,-0.010630
2008-06-19,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.79000,33900,0.003373,-0.005902
2008-06-19,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,24.46000,33118600,-0.012914,-0.012914
2008-06-18,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,24.78000,60315200,-0.014320,-0.014320
2008-06-18,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.86000,18300,0.000844,0.000844
2008-06-17,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,25.14000,54962600,-0.075735,-0.075735
2008-06-17,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.85000,43200,-0.006706,-0.006706
2008-06-16,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.93000,23900,0.002521,0.002521
2008-06-16,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,27.20000,74562500,0.053855,0.053855
2008-06-13,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.90000,20100,0.009330,0.009330
2008-06-13,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,25.81000,82556100,0.137004,0.137004
2008-06-12,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,22.70000,173550600,-0.044211,-0.044211
2008-06-12,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.79000,31500,-0.010906,-0.010906
2008-06-11,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,23.75000,117299600,-0.136364,-0.136364
2008-06-11,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,11.92000,24300,-0.019737,-0.019737
2008-06-10,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,12.16000,33700,0.013333,0.013333
2008-06-10,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,27.50000,98174700,-0.067164,-0.067164
2008-06-09,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,29.48000,168319800,-0.087024,-0.087024
2008-06-09,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,12.00000,102400,-0.026764,-0.026764
2008-06-06,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,12.33000,22500,-0.001619,-0.001619
2008-06-06,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,32.29000,45279300,-0.046086,-0.046086
2008-06-05,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,33.85000,74844100,0.078025,0.078025
2008-06-05,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,12.35000,38800,0.000000,0.000000
2008-06-04,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,12.35000,67400,-0.007235,-0.007235
2008-06-04,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,31.40000,113984800,0.025809,0.025809
2008-06-03,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,12.44000,39900,0.001610,0.001610
2008-06-03,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,30.61000,136822900,-0.095182,-0.095182
2008-06-02,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,33.83000,39901300,-0.080956,-0.080956
2008-06-02,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,12.42000,52700,0.000000,0.000000
2008-05-30,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,12.42000,24900,-0.000805,-0.000805
2008-05-30,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,36.81000,12727100,-0.014985,-0.014985
2008-05-29,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,37.37000,27076100,0.014387,0.014387
2008-05-29,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,12.43000,34300,-0.011924,-0.011924
2008-05-28,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,36.84000,29906200,-0.009677,-0.009677
2008-05-28,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,12.58000,53500,0.002390,0.002390
2008-05-27,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,12.55000,29800,0.012097,0.012097
2008-05-27,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,37.20000,30063300,0.030186,0.030186
2008-05-23,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,36.11000,37386200,-0.062078,-0.062078
2008-05-23,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,12.40000,28500,-0.004815,-0.004815
2008-05-22,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,38.50000,27220300,-0.026795,-0.026795
2008-05-22,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,12.46000,50100,0.004029,0.004029
2008-05-21,89780,LBC,LEHMAN BROS FIRST TR INC OP FD,12.41000,18800,-0.002412,-0.002412
2008-05-21,80599,LEH,LEHMAN BROTHERS HOLDINGS INC,39.56000,32443800,-0.058095,-0.058095
